,comm_id,parent_id
525,20109336,450474
526,20109548,20109336
527,20109396,450474
528,20109416,20109396
529,20109438,20109416
530,20109444,20109438
531,20109446,20109444
532,20109458,20109446
533,20109688,20109444
534,20110272,20109688
535,20110392,20110272
536,20110438,20110392
537,20110486,20110438
538,20110530,20110486
539,20110746,20110530
540,20110786,20110746
541,20110434,20109444
542,20110454,20110434
543,20111780,20110454
544,20111844,20111780
545,20109914,20109416
546,20119008,20109416
547,20119076,20119008
548,20109430,20109396
549,20110238,20109430
550,20110326,20110238
551,20110804,20109430
552,20110986,20110804
553,20111196,20110986
554,20111816,20111196
555,20111910,20111816
556,20111838,20111196
557,20111906,20111838
558,20113240,20111906
559,20113972,20113240
560,20111798,20110804
561,20111900,20111798
562,20111984,20111900
563,20112020,20111984
564,20112132,20112020
565,20112644,20112132
566,20109440,20109396
567,20109656,20109440
568,20109668,20109396
569,20109744,20109668
570,20109748,20109744
571,20109778,20109748
572,20109820,20109778
573,20109882,20109748
574,20109934,20109882
575,20109958,20109934
576,20110086,20109958
577,20110144,20110086
578,20110176,20110144
579,20114666,20110086
580,20114706,20114666
581,20109886,20109668
582,20114670,20109886
583,20111856,20109668
584,20109996,20109396
585,20110022,20109396
586,20110428,20110022
587,20110808,20110022
588,20111000,20110808
589,20111202,20111000
590,20111258,20111202
591,20111192,20110808
592,20111216,20111192
593,20110968,20110022
594,20111200,20110968
595,20111826,20109396
596,20112464,20111826
597,20113374,20112464
598,20113904,20113374
599,20114564,20113904
600,20113992,20113374
601,20114822,20113374
602,20110010,450474
603,20110126,20110010
604,20111886,20110126
605,20146922,20111886
606,20110030,450474
607,20110084,450474
608,20110414,450474
609,20110470,450474
610,20110866,20110470
611,20110934,20110470
612,20111056,20110934
613,20110860,450474
614,20110874,450474
615,20111004,20110874
616,20112032,20111004
617,20113074,20111004
618,20113086,20113074
619,20113268,20113074
620,20114732,20111004
621,20125822,20111004
622,20112392,450474
623,20105278,449864
624,20105308,20105278
625,20105828,20105278
626,20106012,449864
627,20106904,20106012
628,20106584,449864
629,20106596,20106584
630,20106604,20106596
631,20106706,20106584
632,20096500,404811
633,20098660,404811
634,20095516,450144
635,20096358,20095516
636,20097438,20096358
637,20098498,450144
638,20102432,450144
639,20112710,20102432
640,20112732,20112710
641,20087126,449662
642,20088198,20087126
643,20109154,449662
644,20113064,20109154
645,20119578,449602
646,20078876,449236
647,20079034,449236
648,20079188,449236
649,20079616,449236
650,20080008,449236
651,20082902,449236
652,20143984,20082902
653,20083570,449236
654,20079584,449576
655,20082560,449576
656,20093478,449576
657,20077030,449558
658,20080534,20077030
659,20080582,20080534
660,20094560,20080582
661,20077200,449558
662,20080544,20077200
663,20080550,20080544
664,20080580,20080550
665,20078056,449558
666,20080570,20078056
667,20082032,20080570
668,20089948,20082032
669,20079136,449558
670,20080584,449558
671,20076350,449216
672,20076378,20076350
673,20076410,20076378
674,20078710,20076410
675,20078928,20078710
676,20080120,20078928
677,20080160,20080120
678,20084892,20080120
679,20080682,20076378
680,20076398,20076350
681,20076654,20076398
682,20076660,20076654
683,20078424,20076654
684,20101030,20078424
685,20080694,20076654
686,20079992,20076350
687,20085062,20079992
688,20089332,20079992
689,20076632,449216
690,20076762,449216
691,20076910,449216
692,20077108,20076910
693,20079790,20077108
694,20080710,20079790
695,20091024,20080710
696,20093144,20091024
697,20094578,20093144
698,20081060,20079790
699,20077170,20076910
700,20078116,20077170
701,20080142,20078116
702,20081458,20080142
703,20081490,20081458
704,20089368,20081490
705,20089408,20089368
706,20081450,20077170
707,20081504,20081450
708,20085064,20077170
709,20085066,20077170
710,20078732,449216
711,20081016,20078732
712,20084258,20078732
713,20082956,449216
714,20089402,20082956
715,20075728,449494
716,20075768,20075728
717,20076100,449494
718,20076118,20076100
719,20076198,20076118
720,20076612,20076198
721,20078456,20076612
722,20082630,449494
723,20073714,449430
724,20073874,20073714
725,20074136,20073714
726,20073976,449430
727,20074180,20073976
728,20079054,20074180
729,20072196,446032
730,20072220,20072196
731,20072332,446032
732,20072356,20072332
733,20072362,446032
734,20072374,20072362
735,20072388,20072362
736,20072398,20072388
737,20099740,20072362
738,20072670,446032
739,20072694,20072670
740,20072906,20072694
741,20073316,20072906
742,20073928,446032
743,20074010,20073928
744,20075024,20073928
745,20078604,20075024
746,20074912,446032
747,20074924,20074912
748,20074974,20074924
749,20074976,20074924
750,20074996,20074976
751,20102084,20074924
752,20075844,446032
753,20075850,20075844
754,20079408,20075850
755,20064734,449120
756,20065030,20064734
757,20067178,449120
758,20067762,449120
759,20069280,449120
760,20069294,20069280
761,20069282,449120
762,20069316,20069282
763,20069610,449120
764,20070192,20069610
765,20058142,448892
766,20059382,448892
767,20059688,448892
768,20068088,448892
769,20072460,448892
770,20110224,448892
771,20034110,20033786
772,20029378,447414
773,20054000,20029378
774,20028800,446738
775,20031058,20030512
776,20059756,446738
777,20023714,447910
778,20024120,447910
779,20024166,447910
