306,20154730,tEarth,1.0
307,20154976,Peter03,1.0
308,20155236,ideog,1.0
309,20156438,x8core,1.0
310,20156574,tEarth,1.0
311,20157032,ideog,1.0
312,20179674,prijutme4ty,1.0
313,449514,Shnurre,0.0
314,20156936,alexanderkuk,1.0
315,451542,andrewbo29,0.0
316,20152190,TiesP,1.0
317,20152634,andrewbo29,1.0
318,20152898,ebt,1.0
319,20153110,andrewbo29,1.0
320,20154722,superstarstas306,1.0
321,20154802,andrewbo29,1.0
322,451738,Andre1540,0.0
323,450376,vomar,0.0
324,20150914,YaMishar,1.0
325,20151074,vomar,1.0
326,20151412,YaMishar,1.0
327,20153556,putnik,1.0
328,20153692,Losted,1.0
329,20154264,YaMishar,1.0
330,20151802,imm,1.0
331,20152780,vomar,1.0
332,20151834,Accounter,1.0
333,20151382,Koroed,1.0
334,20151414,Sanovskiy,1.0
335,20151432,Koroed,1.0
336,20154768,ITurchenko,1.0
337,20163814,sergey-b,1.0
338,20151430,teemour,1.0
339,20151446,Koroed,1.0
340,20151554,remzalp,1.0
341,20151586,YaMishar,1.0
342,20151760,imm,1.0
343,20151918,tundrawolf_kiba,1.0
344,20152236,dmitryvolkovtaxi,1.0
345,20153178,YaMishar,1.0
346,20170094,WolfTheGrey,1.0
347,20151790,x67,1.0
348,20152126,Warrangie,1.0
349,20152790,vomar,1.0
350,20152684,aborouhin,1.0
351,20152840,vlad49,1.0
352,20163826,sergey-b,1.0
353,20154986,Aingis,1.0
354,20155514,aborouhin,1.0
355,20163838,sergey-b,1.0
356,20170702,staticlab,1.0
357,20177788,sergey-b,1.0
358,20177848,staticlab,1.0
359,20153252,gleb_l,1.0
360,20154276,PeoneEr,1.0
361,20155122,Skerrigan,1.0
362,20155124,PeoneEr,1.0
363,20185030,dmitryvolkovtaxi,1.0
364,20202318,AlexGluck,1.0
365,20155084,dovg,1.0
366,20155530,LumberJack,1.0
367,20155550,dovg,1.0
368,20201728,ProFfeSsoRr,1.0
369,20203748,dovg,1.0
370,20155744,dm9,1.0
371,20158106,SergeyMarkelov,1.0
372,20170150,WolfTheGrey,1.0
373,20180562,ozonar,1.0
374,20158318,nomadmoon,1.0
375,20177806,sergey-b,1.0
376,20202340,AlexGluck,1.0
377,451634,msgeek,0.0
378,20150022,jenga67,1.0
379,20159588,SandroSmith,1.0
380,20170410,aosipoff,1.0
381,20170412,AQIS,1.0
382,20150026,Juster,1.0
383,20154308,agat000,1.0
384,20150642,Zempik,1.0
385,20153206,belyvoron,1.0
386,20160548,kITerE,1.0
387,20153414,thauquoo,1.0
388,20170404,Insider72,1.0
389,439674,dim2r,0.0
390,451296,Bulanov,0.0
391,20146484,Tantrido,1.0
392,20147252,KAW,1.0
393,20147362,Tantrido,1.0
394,450796,androude,0.0
395,20144948,kryvichh,1.0
396,20144978,roryorangepants,1.0
397,20145398,psman,1.0
398,20145754,kryvichh,1.0
399,20149530,Kowi,1.0
400,20154072,RomanoBruno,1.0
401,20145604,androude,1.0
402,20152914,winotix,1.0
403,20145660,dimkss,1.0
404,20146256,androude,1.0
405,20145734,rinaty,1.0
406,20147274,Hardcoin,1.0
407,20147816,rinaty,1.0
408,20148438,Stasklymenko,1.0
409,20145900,Avadon,1.0
410,20146200,vassabi,1.0
411,20146678,androude,1.0
412,20147068,muhaa,1.0
413,20147350,Hardcoin,1.0
414,20147912,muhaa,1.0
415,20148458,kryvichh,1.0
416,20148494,muhaa,1.0
417,20148718,Hardcoin,1.0
418,20149974,muhaa,1.0
419,20150108,Hardcoin,1.0
420,20150270,androude,1.0
421,20150840,Hardcoin,1.0
422,20151526,muhaa,1.0
423,20151828,Hardcoin,1.0
424,20152710,muhaa,1.0
425,20152778,androude,1.0
426,20152948,Hardcoin,1.0
427,20155154,muhaa,1.0
428,20152250,roryorangepants,1.0
429,20150842,Halt,1.0
430,20148388,Rukis,1.0
431,20148540,muhaa,1.0
432,20148736,rroyter,1.0
433,20150144,muhaa,1.0
434,20152930,rroyter,1.0
435,20156312,muhaa,1.0
436,20157028,kryvichh,1.0
437,20148910,Alex_ME,1.0
438,20149190,billyevans,1.0
439,20150198,muhaa,1.0
440,20152758,billyevans,1.0
441,20147230,Sly_tom_cat,1.0
442,20147830,AlexSky,1.0
443,20148508,kryvichh,1.0
444,20167154,Stanislav_L,1.0
445,20167674,sith,1.0
446,20168028,Stanislav_L,1.0
447,20147286,barbanel,1.0
448,20147844,AlexSky,1.0
449,20148322,Alex_ME,1.0
450,20148474,androude,1.0
451,20148594,Alex_ME,1.0
452,20148774,androude,1.0
453,20149040,NIKOSV,1.0
454,20149522,androude,1.0
455,20149648,Halt,1.0
456,20150030,Tachyon,1.0
457,451070,masterdak,0.0
458,20131564,Ermit,1.0
459,20131588,supgordan,1.0
460,20131598,masterdak,1.0
461,20131620,foo52ru,1.0
462,20132352,orion76,1.0
463,20132778,xFFFF,1.0
464,20134594,Sly_tom_cat,1.0
465,20134992,napa3um,1.0
466,451008,info_habr,0.0
467,20129590,BaileysQueen,1.0
468,450354,Bulanov,0.0
469,20152842,vba,1.0
470,450870,m1rko,0.0
471,20129842,phillennium,1.0
472,450850,elenaLep,0.0
473,20123734,leshabirukov,1.0
474,20124520,FForth,1.0
475,20124886,leshabirukov,1.0
476,20124990,FForth,1.0
477,20126798,elenaLep,1.0
478,20127958,leshabirukov,1.0
479,20129968,elenaLep,1.0
480,20132556,leshabirukov,1.0
481,20127152,Brak0del,1.0
482,20127588,elenaLep,1.0
483,20150142,WhiteWhiteWalker,1.0
484,20150160,elenaLep,1.0
485,450314,ru_vds,0.0
486,20122852,fedorro,1.0
487,20149800,dimka11,1.0
488,20122934,GokenTanmay,1.0
489,20123234,Akon32,1.0
490,20185802,YuraLia,1.0
491,20123150,mayorovp,1.0
492,20123172,roryorangepants,1.0
493,20124316,GokenTanmay,1.0
494,20124482,roryorangepants,1.0
495,20125178,GokenTanmay,1.0
496,20126948,lostmsu,1.0
497,20125262,masai,1.0
498,20123492,Tyiler,1.0
499,20127586,areafishing,1.0
500,20127636,roryorangepants,1.0
501,20127658,areafishing,1.0
502,450798,ph_piter,0.0
503,20123070,gromazeka,1.0
504,20123754,UnknownUser,1.0
505,20189068,gromazeka,1.0
506,450760,buriy,0.0
507,20120944,snakers4,1.0
508,20123940,DoctorStein,1.0
509,20124222,snakers4,1.0
510,20124428,DoctorStein,1.0
511,20124466,snakers4,1.0
512,20124498,DoctorStein,1.0
513,20124518,buriy,1.0
514,20124446,vedenin1980,1.0
515,20124744,buriy,1.0
516,20124420,buriy,1.0
517,20124474,DoctorStein,1.0
518,20124548,buriy,1.0
519,20124576,snakers4,1.0
520,20121024,snd3r,1.0
521,20123334,buriy,1.0
522,20121058,mikhailian,1.0
523,20121556,snakers4,1.0
524,20121908,begemot_sun,1.0
525,20121998,snakers4,1.0
526,20122296,begemot_sun,1.0
527,20122312,snakers4,1.0
528,20122436,amarao,1.0
529,20123360,snakers4,1.0
530,20129112,akreal,1.0
531,20129160,snakers4,1.0
532,20142810,snakers4,1.0
533,20123402,buriy,1.0
534,20125596,Halt,1.0
535,20122440,snd3r,1.0
536,20122466,snakers4,1.0
537,20122716,snakers4,1.0
538,20123326,buriy,1.0
539,20122944,lotse8,1.0
540,20123416,buriy,1.0
541,20123512,kraidiky,1.0
542,20124812,CryptoPirate,1.0
543,20125024,buriy,1.0
544,20125310,vedenin1980,1.0
545,20125378,vedenin1980,1.0
546,20125562,buriy,1.0
547,20125560,buriy,1.0
548,20127488,Niakris,1.0
549,20133624,snakers4,1.0
550,20133664,snakers4,1.0
551,20133960,buriy,1.0
552,20128962,akreal,1.0
553,20128998,snakers4,1.0
554,20129086,akreal,1.0
555,20129174,snakers4,1.0
556,446726,comratvlad,0.0
557,20119624,leshabirukov,1.0
558,20119658,comratvlad,1.0
559,20123002,simbajoe,1.0
560,20126234,3Dvideo,1.0
561,20130100,perfect_genius,1.0
562,20130106,DistortNeo,1.0
563,20130520,masai,1.0
564,450500,androude,0.0
565,20117148,TerraV,1.0
566,20118110,potan,1.0
567,20119728,androude,1.0
568,20148240,Alex_ME,1.0
569,20119120,degroeg,1.0
570,20165474,striver,1.0
571,450474,Grigoriy_Alekseev,0.0
572,20109336,andreymal,1.0
573,20109548,Ktulhy,1.0
574,20109396,Daddy_Cool,1.0
575,20109416,andreymal,1.0
576,20109438,Tanner,1.0
577,20109444,andreymal,1.0
578,20109446,Tanner,1.0
579,20109458,andreymal,1.0
580,20109688,AlePil,1.0
581,20110272,andreymal,1.0
582,20110392,AlePil,1.0
583,20110438,andreymal,1.0
584,20110486,AlePil,1.0
585,20110530,andreymal,1.0
586,20110746,AlePil,1.0
587,20110786,andreymal,1.0
588,20110434,Chuvi,1.0
589,20110454,andreymal,1.0
590,20111780,Chuvi,1.0
591,20111844,andreymal,1.0
592,20109914,saipr,1.0
593,20119008,MamontsevDS,1.0
594,20119076,andreymal,1.0
595,20109430,Tanner,1.0
596,20110238,Daddy_Cool,1.0
597,20110326,Tanner,1.0
598,20110804,0xd34df00d,1.0
599,20110986,roryorangepants,1.0
600,20111196,0xd34df00d,1.0
601,20111816,roryorangepants,1.0
602,20111910,0xd34df00d,1.0
603,20111838,bano-notit,1.0
604,20111906,0xd34df00d,1.0
605,20113240,bano-notit,1.0
606,20113972,0xd34df00d,1.0
607,20111798,Tanner,1.0
608,20111900,0xd34df00d,1.0
609,20111984,Tanner,1.0
610,20112020,0xd34df00d,1.0
611,20112132,Tanner,1.0
612,20112644,0xd34df00d,1.0
613,20109440,HerrDirektor,1.0
614,20109656,alexs0ff,1.0
615,20109668,ittakir,1.0
616,20109744,Kitsok,1.0
617,20109748,Kitsok,1.0
618,20109778,Dreyk,1.0
619,20109820,Kitsok,1.0
620,20109882,ittakir,1.0
621,20109934,Kitsok,1.0
622,20109958,ittakir,1.0
623,20110086,Kitsok,1.0
624,20110144,ittakir,1.0
625,20110176,Kitsok,1.0
626,20114666,remzalp,1.0
627,20114706,Kitsok,1.0
628,20109886,Tanner,1.0
629,20114670,remzalp,1.0
630,20111856,bano-notit,1.0
631,20109996,kaleman,1.0
632,20110022,farcaller,1.0
633,20110428,Daddy_Cool,1.0
634,20110808,0xd34df00d,1.0
635,20111000,roryorangepants,1.0
636,20111202,0xd34df00d,1.0
637,20111258,roryorangepants,1.0
638,20111192,farcaller,1.0
639,20111216,0xd34df00d,1.0
640,20110968,akhalat,1.0
641,20111200,farcaller,1.0
642,20111826,bano-notit,1.0
643,20112464,Daddy_Cool,1.0
644,20113374,bano-notit,1.0
645,20113904,tuxi,1.0
646,20114564,bano-notit,1.0
647,20113992,0xd34df00d,1.0
648,20114822,Daddy_Cool,1.0
649,20110010,sbnur,1.0
650,20110126,GRaAL,1.0
651,20111886,bano-notit,1.0
652,20146922,GRaAL,1.0
653,20110030,BasicWolf,1.0
654,20110084,tymanst,1.0
655,20110414,mkvmaks,1.0
656,20110470,rudinandrey,1.0
657,20110866,ZZahar,1.0
658,20110934,tuxi,1.0
659,20111056,na9ort,1.0
660,20110860,iroln,1.0
661,20110874,ZaEzzz,1.0
662,20111004,BasicWolf,1.0
663,20112032,Jourloy,1.0
664,20113074,saluev,1.0
665,20113086,roryorangepants,1.0
666,20113268,Morgan_iv,1.0
667,20114732,technic93,1.0
668,20125822,ZaEzzz,1.0
669,20112392,spballiance,1.0
670,449864,Tyiler,0.0
671,20105278,jandevel,1.0
672,20105308,Tyiler,1.0
673,20105828,old_bear,1.0
674,20106012,uhf,1.0
675,20106904,old_bear,1.0
676,20106584,roryorangepants,1.0
677,20106596,old_bear,1.0
678,20106604,roryorangepants,1.0
679,20106706,Tyiler,1.0
680,404811,Barrayar,0.0
681,20096500,sergeyns,1.0
682,20098660,AN3333,1.0
683,450144,Cloud4Y,0.0
684,20095516,NeoCode,1.0
685,20096358,Cloud4Y,1.0
686,20097438,NeoCode,1.0
687,20098498,darkace,1.0
688,20102432,tgz,1.0
689,20112710,bioxakep,1.0
690,20112732,tgz,1.0
691,449956,gureva_geo,0.0
692,449662,shulyndina,0.0
693,20087126,Anshi85,1.0
694,20088198,shulyndina,1.0
695,20109154,WeltRogg,1.0
696,20113064,shulyndina,1.0
697,449602,yaheads,0.0
698,20119578,And32,1.0
699,449236,ilk1n,0.0
700,20078876,laminor4ik,1.0
701,20079034,Gorily,1.0
702,20079188,APcode_ars,1.0
703,20079616,Eldhenn,1.0
704,20080008,apapacy,1.0
705,20082902,T13Nemo,1.0
706,20143984,thehlopster,1.0
707,20083570,Taraflex,1.0
708,449576,tormozedison,0.0
709,20079584,AndreyYu,1.0
710,20082560,Topman,1.0
711,20093478,Cyl,1.0
712,449558,flacoshinobi,0.0
713,20077030,submagic,1.0
714,20080534,flacoshinobi,1.0
715,20080582,submagic,1.0
716,20094560,stgunholy,1.0
717,20077200,pavlick,1.0
718,20080544,flacoshinobi,1.0
719,20080550,pavlick,1.0
720,20080580,flacoshinobi,1.0
721,20078056,Bhudh,1.0
722,20080570,flacoshinobi,1.0
723,20082032,Bhudh,1.0
724,20089948,flacoshinobi,1.0
725,20079136,nad_oby,1.0
726,20080584,pop70,1.0
727,449216,LukaSafonov,0.0
728,20076350,trak,1.0
